date,X1年,X2年,X3年,X5年,X7年,X10年,X20年,X30年
2023-04-03,2.2328,2.4009,2.5118,2.6949,2.8356,2.8604,3.0829,3.2407
2023-04-04,2.2303,2.4041,2.5118,2.6979,2.8356,2.8584,3.0826,3.2421
2023-04-06,2.2278,2.4104,2.5146,2.7028,2.8339,2.8605,3.0857,3.2463
2023-04-07,2.2278,2.4082,2.5095,2.688,2.8258,2.8464,3.0734,3.236
2023-04-10,2.2228,2.4099,2.5047,2.6918,2.8235,2.8455,3.0723,3.2347
2023-04-11,2.2128,2.4078,2.4936,2.6793,2.8057,2.8203,3.0511,3.2173
2023-04-12,2.2091,2.401,2.4866,2.669,2.7936,2.8158,3.039,3.1977
2023-04-13,2.2066,2.4044,2.4895,2.6793,2.8014,2.8277,3.0477,3.2031
2023-04-14,2.2091,2.4074,2.4922,2.6826,2.8039,2.8281,3.0479,3.2032
2023-04-17,2.2141,2.4113,2.5041,2.6946,2.8191,2.8432,3.0606,3.2136
2023-04-18,2.2016,2.4053,2.4997,2.6852,2.8105,2.8319,3.0529,3.2056
2023-04-19,2.1891,2.4061,2.4881,2.6735,2.8069,2.8333,3.0501,3.1875
2023-04-20,2.1905,2.4065,2.4915,2.671,2.8046,2.8332,3.0451,3.1775
2023-04-21,2.1894,2.4056,2.492,2.669,2.8,2.8258,3.039,3.1726
2023-04-23,2.1906,2.4095,2.4914,2.6682,2.797,2.822,3.0366,3.1715
2023-04-24,2.1855,2.4063,2.4894,2.6632,2.7968,2.8176,3.0291,3.1608
2023-04-25,2.1754,2.4056,2.4887,2.6599,2.7944,2.8157,3.0269,3.1584
2023-04-26,2.1727,2.3922,2.4782,2.6375,2.7799,2.8058,3.0169,3.1574
2023-04-27,2.156,2.3534,2.4527,2.6152,2.753,2.7852,3.0069,3.1379
2023-04-28,2.1464,2.3548,2.4501,2.613,2.7452,2.7788,3.0025,3.1355
