trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20260408,SSE,1310046005809.0,116304735632.0,109689153041.0,12360535125.0,66759457.0,1322406540934.0,2349079019.0
20260408,SZSE,1264606437039.0,125168947135.0,115625459854.0,6320019644.0,34344406.0,1270926456683.0,795977938.0
20260407,SSE,1303437424328.0,71536716666.0,70924293311.0,12300353952.0,64676164.0,1315737778280.0,2458736085.0
20260407,SZSE,1255084794645.0,77285499337.0,74076863626.0,6073953516.0,28249313.0,1261158748161.0,812400601.0
20260403,SSE,1302837239635.0,73845070021.0,82104101312.0,12106416489.0,43729851.0,1314943656124.0,2451297189.0
20260403,SZSE,1251884568609.0,76083707517.0,85141238132.0,5971897683.0,23465216.0,1257856466292.0,803875047.0
20260402,SSE,1311104175276.0,82932981463.0,88270872890.0,12380763129.0,87182438.0,1323484938405.0,2496650751.0
20260402,SZSE,1260951353577.0,79470582165.0,85088272618.0,6082989586.0,26503889.0,1267034343163.0,809567850.0
20260401,SSE,1316447409207.0,93453802460.0,93616797468.0,12367731808.0,70327943.0,1328815141015.0,2463406009.0
20260401,SZSE,1266597500700.0,94511000130.0,93793776130.0,6204045459.0,27675076.0,1272801546159.0,810402459.0
20260331,SSE,1316614258911.0,90957874346.0,93805136403.0,12103919148.0,82595507.0,1328718178059.0,2479288158.0
20260331,SZSE,1265723771944.0,87667677766.0,93056287316.0,6076151216.0,22815134.0,1271799923160.0,812850370.0
20260330,SSE,1319468230266.0,82497234732.0,78716064400.0,12174975059.0,85889637.0,1331643205325.0,2454470329.0
20260330,SZSE,1271026912023.0,90417302946.0,86387664421.0,6125204094.0,36663510.0,1277152116117.0,810877320.0
20260327,SSE,1315693648745.0,77266374177.0,82933234687.0,11939152578.0,78392360.0,1327632801323.0,2418489197.0
20260327,SZSE,1266999766737.0,88224767325.0,90454613511.0,6092067824.0,34821126.0,1273091834561.0,797498346.0
20260326,SSE,1321369177440.0,82479295308.0,82862099711.0,11831318219.0,98396969.0,1333200495659.0,2379831874.0
20260326,SZSE,1269235807593.0,93174595835.0,93644058943.0,5958160094.0,31071449.0,1275193967687.0,785115724.0
