date,open,high,low,close,volume
2006-04-03,11.49,11.82,11.49,11.73,0
2006-04-04,11.74,11.82,11.7,11.7,0
2006-04-05,11.69,11.81,11.69,11.72,0
2006-04-06,11.72,12.15,11.72,12.14,0
2006-04-07,12.14,12.22,12.09,12.09,0
2006-04-10,12.11,12.77,12.11,12.73,0
2006-04-11,12.73,13.03,12.5,12.5,0
2006-04-12,12.48,12.85,12.48,12.8,0
2006-04-13,12.78,12.94,12.78,12.9,0
2006-04-14,12.9,12.93,12.9,12.93,0
2006-04-17,13.02,13.72,13.02,13.61,0
2006-04-18,13.62,14.12,13.62,14.07,0
2006-04-19,14.11,14.74,14.11,14.7,0
2006-04-20,14.71,14.74,11.98,11.98,0
2006-04-21,11.99,13.08,11.99,13.08,0
2006-04-24,12.98,13.22,11.98,11.98,0
2006-04-25,11.96,12.67,11.96,12.56,0
2006-04-26,12.57,12.97,12.57,12.88,0
2006-04-27,12.89,13.16,12.65,12.65,0
2006-04-28,12.66,13.95,12.66,13.72,0
2006-05-01,13.74,14.09,13.74,13.84,0
2006-05-02,13.83,14.37,13.83,14.31,0
2006-05-03,14.3,14.56,13.81,13.81,0
2006-05-04,13.8,14.26,13.8,13.98,0
2006-05-05,14.02,14.16,14.0,14.0,0
2006-05-08,14.02,14.16,13.95,13.95,0
2006-05-09,13.96,14.58,13.96,14.5,0
2006-05-10,14.49,14.6,14.49,14.56,0
2006-05-11,14.53,15.22,14.53,14.83,0
2006-05-12,14.81,15.1,14.37,14.37,0
2006-05-15,14.41,14.52,13.15,13.15,0
2006-05-16,13.14,13.67,13.14,13.62,0
2006-05-17,13.6,14.09,13.19,13.19,0
2006-05-18,13.2,13.34,12.67,12.67,0
2006-05-19,12.69,12.86,12.57,12.57,0
2006-05-22,12.58,12.59,12.52,12.52,0
2006-05-23,12.53,13.26,12.53,12.98,0
2006-05-24,12.99,13.19,12.51,12.51,0
2006-05-25,12.53,12.84,12.53,12.71,0
2006-05-26,12.73,12.8,12.73,12.75,0
2006-05-29,12.75,12.88,12.75,12.81,0
2006-05-30,12.82,13.4,12.82,13.04,0
2006-05-31,13.03,13.15,12.54,12.54,0
2006-06-01,12.55,12.57,12.04,12.04,0
2006-06-02,12.03,12.32,12.03,12.16,0
2006-06-05,12.17,12.41,12.12,12.12,0
2006-06-06,12.13,12.16,11.89,11.89,0
2006-06-07,11.91,12.01,11.88,11.88,0
2006-06-08,11.89,11.94,11.22,11.22,0
2006-06-09,11.23,11.54,11.21,11.21,0
2006-06-12,11.17,11.33,10.97,10.97,0
2006-06-13,10.98,11.03,9.59,9.59,0
2006-06-14,9.6,10.05,9.6,9.63,0
2006-06-15,9.64,10.31,9.64,10.25,0
2006-06-16,10.26,10.39,10.26,10.28,0
2006-06-19,10.25,10.26,9.94,9.94,0
2006-06-20,9.95,10.34,9.95,10.27,0
2006-06-21,10.28,10.59,10.28,10.48,0
2006-06-22,10.49,10.72,10.25,10.25,0
2006-06-23,10.24,10.39,10.24,10.34,0
2006-06-26,10.37,10.44,10.31,10.31,0
2006-06-27,10.32,10.71,10.16,10.16,0
2006-06-28,10.17,10.45,10.17,10.24,0
2006-06-29,10.25,10.76,10.25,10.75,0
2006-06-30,10.76,11.15,10.76,11.1,0
2006-07-03,11.01,11.35,11.01,11.33,0
2006-07-04,11.3,11.3,11.29,11.29,0
2006-07-05,11.25,11.49,11.25,11.43,0
2006-07-06,11.44,11.66,11.44,11.57,0
2006-07-07,11.56,11.64,11.34,11.34,0
2006-07-10,11.41,11.43,11.09,11.09,0
2006-07-11,11.07,11.61,11.07,11.53,0
