date,open,high,low,close,volume
2006-04-03,581.74,591.92,581.7,587.85,0
2006-04-04,587.95,590.35,584.83,586.7,0
2006-04-05,586.95,589.85,582.35,588.5,0
2006-04-06,588.45,596.95,587.53,595.3,0
2006-04-07,595.55,598.27,585.3,588.85,0
2006-04-10,589.13,599.8,588.88,599.75,0
2006-04-11,600.95,604.3,593.0,593.41,0
2006-04-12,593.5,600.2,593.08,598.38,0
2006-04-13,598.73,598.78,590.7,596.47,0
2006-04-14,596.74,602.99,595.13,602.99,0
2006-04-17,598.74,615.75,598.74,613.47,0
2006-04-18,613.7,622.08,612.55,621.07,0
2006-04-19,620.9,642.6,620.9,640.2,0
2006-04-20,640.0,645.85,607.95,612.5,0
2006-04-21,612.8,634.77,610.6,633.97,0
2006-04-24,639.0,640.0,619.8,620.7,0
2006-04-25,620.8,635.13,618.92,630.3,0
2006-04-26,630.2,641.4,628.49,638.63,0
2006-04-27,638.9,643.7,627.95,633.63,0
2006-04-28,633.8,656.0,633.63,654.42,0
2006-05-01,654.6,661.63,651.43,655.1,0
2006-05-02,655.2,669.6,653.0,668.8,0
2006-05-03,668.9,677.5,658.2,667.0,0
2006-05-04,667.2,680.7,661.18,679.7,0
2006-05-05,679.9,684.9,675.42,683.8,0
2006-05-08,682.8,686.6,671.0,678.7,0
2006-05-09,679.4,701.0,678.2,700.9,0
2006-05-10,700.8,708.6,693.85,707.9,0
2006-05-11,708.0,726.7,704.92,714.3,0
2006-05-12,714.1,730.4,708.3,714.8,0
2006-05-15,714.5,720.54,676.6,677.4,0
2006-05-16,677.5,693.3,675.0,690.4,0
2006-05-17,690.6,716.7,685.3,687.1,0
2006-05-18,687.2,694.7,678.8,682.3,0
2006-05-19,682.5,688.99,651.7,657.6,0
2006-05-22,657.9,661.5,637.55,656.05,0
2006-05-23,656.6,675.0,651.5,666.5,0
2006-05-24,666.3,670.58,636.6,640.7,0
2006-05-25,640.8,651.0,639.0,650.9,0
2006-05-26,651.0,655.5,640.8,653.7,0
2006-05-29,652.99,654.2,646.95,647.77,0
2006-05-30,650.99,665.2,648.7,652.9,0
2006-05-31,652.8,659.7,639.1,645.2,0
2006-06-01,645.1,645.9,621.3,629.6,0
2006-06-02,629.8,639.2,619.1,638.2,0
2006-06-05,637.3,645.79,635.45,637.15,0
2006-06-06,637.25,639.55,625.85,630.65,0
2006-06-07,630.55,631.45,617.25,626.45,0
2006-06-08,626.75,627.53,607.85,613.25,0
2006-06-09,613.15,617.55,601.05,607.45,0
2006-06-12,607.75,611.9,602.9,604.25,0
2006-06-13,604.35,605.15,560.99,562.05,0
2006-06-14,561.99,571.45,542.45,559.75,0
2006-06-15,558.55,578.85,554.25,577.05,0
2006-06-16,576.25,585.04,567.05,581.15,0
2006-06-19,580.35,580.65,564.38,565.25,0
2006-06-20,565.15,577.75,561.24,575.85,0
2006-06-21,576.49,590.7,570.97,587.55,0
2006-06-22,588.05,595.32,579.35,580.65,0
2006-06-23,580.45,586.45,572.25,583.05,0
2006-06-26,584.75,588.05,577.75,585.25,0
2006-06-27,585.35,596.01,579.05,579.05,0
2006-06-28,578.95,586.55,577.1,580.15,0
2006-06-29,580.2,600.5,579.05,599.65,0
2006-06-30,599.35,616.55,597.35,615.85,0
2006-07-03,617.49,625.28,614.65,623.49,0
2006-07-04,624.0,624.08,616.92,620.24,0
2006-07-05,617.75,630.75,617.75,628.15,0
2006-07-06,628.15,635.21,622.5,633.03,0
2006-07-07,633.45,637.49,627.92,629.25,0
2006-07-10,630.45,632.45,620.75,624.15,0
2006-07-11,624.25,643.89,621.85,641.45,0
2006-07-12,641.35,655.53,639.91,651.53,0
2006-07-13,651.35,660.45,645.13,660.05,0
2006-07-14,660.35,667.92,658.25,664.15,0
2006-07-17,667.35,676.53,641.15,643.03,0
2006-07-18,643.35,654.55,628.09,633.05,0
2006-07-19,632.25,646.42,617.9,642.75,0
2006-07-20,643.05,645.25,627.75,628.15,0
2006-07-21,629.15,637.15,616.05,619.75,0
2006-07-24,620.65,621.25,602.57,615.25,0
2006-07-25,615.05,624.25,610.34,619.13,0
2006-07-26,619.15,627.7,613.65,624.75,0
2006-07-27,624.55,640.75,622.45,634.35,0
2006-07-28,634.55,637.75,626.82,634.75,0
2006-07-31,635.45,639.75,629.46,636.74,0
2006-08-01,636.35,648.55,630.94,646.84,0
2006-08-02,647.45,656.0,645.4,651.25,0
2006-08-03,651.15,653.09,639.62,644.92,0
2006-08-04,644.95,654.3,643.8,646.5,0
2006-08-07,644.55,652.14,644.42,648.65,0
2006-08-08,648.15,649.29,641.73,642.55,0
2006-08-09,642.95,655.08,635.59,650.03,0
2006-08-10,650.55,654.04,634.19,636.25,0
2006-08-11,636.15,645.32,627.15,632.55,0
2006-08-14,630.75,633.2,623.86,626.7,0
2006-08-15,627.4,628.45,621.4,624.8,0
2006-08-16,624.9,632.71,622.51,629.05,0
2006-08-17,629.1,632.1,613.7,614.0,0
2006-08-18,614.0,619.2,607.5,614.9,0
2006-08-21,615.4,628.54,613.9,628.1,0
2006-08-22,629.8,629.8,621.03,625.0,0
2006-08-23,624.25,630.2,621.66,622.34,0
2006-08-24,622.65,626.68,618.95,621.4,0
2006-08-25,620.25,624.4,618.05,622.53,0
2006-08-28,623.15,624.25,613.14,614.78,0
2006-08-29,614.65,618.07,607.73,614.95,0
2006-08-30,615.05,620.92,612.82,619.28,0
2006-08-31,619.05,627.6,618.6,627.3,0
2006-09-01,627.25,627.95,620.16,625.45,0
2006-09-04,625.05,628.0,625.0,626.5,0
2006-09-05,627.24,640.36,626.34,638.3,0
2006-09-06,638.8,640.58,632.9,633.7,0
2006-09-07,633.7,636.25,614.47,616.8,0
2006-09-08,617.1,619.47,607.2,610.8,0
2006-09-11,610.6,610.6,583.48,589.74,0
2006-09-12,589.18,599.59,584.96,587.45,0
2006-09-13,586.95,593.33,579.41,590.19,0
2006-09-14,589.85,595.41,574.95,575.25,0
2006-09-15,575.65,581.45,570.98,579.33,0
2006-09-18,579.55,588.36,578.42,587.2,0
2006-09-19,587.25,589.25,572.75,573.65,0
2006-09-20,572.85,586.49,572.35,576.8,0
2006-09-21,576.9,585.4,574.84,584.2,0
2006-09-22,584.0,592.7,582.99,589.6,0
2006-09-25,590.0,592.11,582.26,590.8,0
2006-09-26,590.0,594.1,586.43,592.0,0
2006-09-27,591.9,603.6,590.0,603.1,0
2006-09-28,603.5,607.3,600.7,601.3,0
2006-09-29,601.5,603.9,594.81,598.3,0
2006-10-02,598.75,604.17,594.8,596.7,0
2006-10-03,596.1,598.38,573.7,574.5,0
2006-10-04,574.7,581.1,559.4,567.0,0
2006-10-05,566.7,574.5,562.6,574.3,0
2006-10-06,574.2,574.2,560.81,574.1,0
2006-10-09,574.4,581.2,571.85,577.1,0
2006-10-10,576.6,581.2,569.35,573.0,0
2006-10-11,573.0,579.13,570.4,573.0,0
2006-10-12,573.15,579.5,571.3,579.3,0
2006-10-13,579.2,590.6,577.3,590.4,0
2006-10-16,592.0,596.3,590.13,596.0,0
2006-10-17,596.15,598.0,585.93,590.1,0
2006-10-18,590.4,595.4,587.4,590.2,0
2006-10-19,590.1,600.7,587.0,599.4,0
2006-10-20,599.0,602.4,591.3,591.5,0
2006-10-23,592.3,593.17,579.77,581.95,0
2006-10-24,582.05,586.95,573.35,586.45,0
2006-10-25,586.35,592.15,580.2,591.05,0
2006-10-26,591.15,598.82,590.45,597.15,0
2006-10-27,597.35,600.05,592.05,599.95,0
2006-10-30,604.3,607.8,598.5,606.6,0
2006-10-31,607.4,619.8,605.63,617.6,0
2006-11-01,617.8,625.95,614.5,624.7,0
2006-11-02,624.7,629.5,618.1,627.4,0
2006-11-06,626.9,629.9,622.9,623.2,0
2006-11-07,623.7,629.21,622.15,624.8,0
2006-11-08,624.8,626.8,613.4,615.8,0
2006-11-09,616.2,635.9,615.2,633.41,0
2006-11-10,633.2,636.9,625.6,628.55,0
2006-11-13,629.1,632.9,620.8,625.7,0
2006-11-14,625.7,629.31,619.5,620.88,0
2006-11-15,620.92,624.94,615.63,623.1,0
2006-11-16,622.5,628.2,617.95,618.25,0
2006-11-17,618.42,622.36,615.0,621.7,0
2006-11-20,620.75,627.0,620.75,622.9,0
2006-11-21,622.83,629.3,622.25,627.5,0
2006-11-22,627.5,634.75,626.4,630.3,0
2006-11-23,629.5,631.8,629.0,631.25,0
2006-11-24,630.5,640.3,630.5,638.2,0
2006-11-27,639.25,642.15,637.2,640.6,0
2006-11-28,640.8,642.2,633.02,640.0,0
2006-11-29,639.8,640.9,635.1,636.65,0
2006-11-30,636.5,649.05,636.5,648.0,0
2006-12-01,648.3,649.95,644.01,645.6,0
2006-12-04,645.5,648.22,640.95,646.2,0
2006-12-05,646.1,648.76,639.45,643.15,0
2006-12-06,643.05,643.05,628.59,630.95,0
2006-12-07,630.75,634.25,625.35,633.84,0
2006-12-08,633.35,638.16,623.75,625.15,0
2006-12-11,624.55,630.76,623.35,630.45,0
2006-12-12,630.55,631.15,627.05,630.05,0
2006-12-13,630.15,630.55,623.75,628.75,0
2006-12-14,628.45,629.55,625.45,625.85,0
2006-12-15,625.0,629.17,614.88,615.35,0
2006-12-18,615.65,618.55,612.07,616.25,0
2006-12-19,616.35,623.05,615.35,622.95,0
2006-12-20,623.35,624.75,619.25,620.44,0
2006-12-21,620.35,622.63,618.15,618.5,0
2006-12-22,618.38,621.71,618.38,621.01,0
2006-12-25,621.3,621.3,620.0,620.75,0
2006-12-26,622.9,629.78,622.5,624.7,0
2006-12-27,624.8,629.6,624.13,627.2,0
2006-12-28,627.3,635.85,626.88,634.9,0
2006-12-29,634.5,636.8,632.3,636.7,0
2007-01-01,636.8,636.8,636.8,636.8,0
2007-01-02,637.0,641.3,636.3,640.5,0
2007-01-03,640.0,645.25,625.38,627.5,0
2007-01-04,627.1,630.85,620.97,622.0,0
2007-01-05,622.6,626.5,602.46,607.4,0
2007-01-08,608.75,610.63,604.03,610.0,0
2007-01-09,609.9,616.05,606.26,613.7,0
2007-01-10,613.5,614.5,606.2,611.3,0
2007-01-11,611.3,616.25,609.2,611.6,0
2007-01-12,610.75,627.72,610.1,627.2,0
2007-01-15,626.2,628.2,625.05,626.7,0
2007-01-16,626.6,628.38,622.9,624.8,0
2007-01-17,624.7,634.14,620.17,631.8,0
2007-01-18,631.9,636.75,626.9,627.7,0
2007-01-19,627.0,636.65,626.9,635.4,0
2007-01-22,635.25,640.03,632.22,633.4,0
2007-01-23,633.3,648.02,633.1,646.7,0
2007-01-24,646.8,649.25,639.34,648.8,0
2007-01-25,649.0,654.6,645.28,646.1,0
2007-01-26,645.5,648.2,641.1,646.0,0
2007-01-29,646.3,648.13,641.17,643.7,0
2007-01-30,643.8,647.6,641.3,647.3,0
2007-01-31,647.2,654.65,642.66,653.2,0
2007-02-01,652.8,661.46,652.2,657.2,0
2007-02-02,657.1,659.21,643.54,647.85,0
2007-02-05,648.5,652.25,646.45,648.45,0
2007-02-06,648.5,658.22,648.1,653.3,0
2007-02-07,653.45,656.71,650.93,651.45,0
2007-02-08,651.55,661.35,648.25,660.45,0
2007-02-09,660.45,668.81,657.25,666.85,0
2007-02-12,667.95,668.55,659.99,661.1,0
2007-02-13,661.15,669.1,660.95,664.25,0
2007-02-14,664.45,671.94,663.75,669.13,0
2007-02-15,668.75,670.88,662.89,669.75,0
2007-02-16,669.5,669.85,662.96,669.05,0
2007-02-19,668.5,673.55,667.85,670.75,0
2007-02-20,670.65,672.15,656.17,657.25,0
2007-02-21,657.65,682.25,657.35,678.85,0
2007-02-22,679.15,681.22,675.75,677.45,0
2007-02-23,677.0,688.56,673.25,682.55,0
2007-02-26,681.65,688.25,681.65,686.55,0
2007-02-27,686.65,688.64,659.65,663.35,0
2007-02-28,663.25,677.75,662.05,669.35,0
2007-03-01,669.25,677.55,662.05,664.45,0
2007-03-02,664.55,665.85,640.94,642.45,0
2007-03-05,643.65,645.15,633.5,636.6,0
2007-03-06,636.3,648.0,632.8,646.5,0
2007-03-07,646.92,651.6,643.1,649.0,0
2007-03-08,649.1,655.7,647.6,651.8,0
2007-03-09,651.7,657.86,649.88,650.27,0
2007-03-12,649.5,653.85,646.13,650.5,0
2007-03-13,650.7,652.2,642.3,643.8,0
2007-03-14,643.7,646.07,637.36,644.7,0
2007-03-15,644.5,650.2,643.5,646.6,0
2007-03-16,646.7,655.6,646.2,653.4,0
2007-03-19,653.2,656.75,652.1,654.2,0
2007-03-20,653.5,661.1,652.9,658.8,0
2007-03-21,658.5,664.2,657.05,664.2,0
2007-03-22,663.6,666.92,662.27,664.0,0
2007-03-23,663.4,664.7,655.43,657.4,0
2007-03-26,657.75,665.45,657.3,664.1,0
2007-03-27,664.2,665.89,661.85,664.41,0
2007-03-28,664.7,669.69,663.75,665.55,0
2007-03-29,665.2,666.85,655.49,661.5,0
2007-03-30,661.1,668.21,660.9,663.79,0
2007-04-02,665.7,666.3,656.6,664.0,0
2007-04-03,664.15,667.84,662.2,663.95,0
2007-04-04,663.8,675.82,663.5,674.35,0
2007-04-05,675.2,675.65,671.75,674.45,0
2007-04-06,674.3,675.13,673.5,675.0,0
2007-04-09,674.88,678.29,670.25,670.75,0
2007-04-10,671.85,681.55,670.65,677.9,0
2007-04-11,677.56,680.87,674.32,677.3,0
2007-04-12,676.7,679.95,671.46,676.1,0
2007-04-13,676.85,686.29,675.25,685.52,0
2007-04-16,687.38,691.26,683.55,690.2,0
2007-04-17,689.9,690.85,686.15,686.55,0
2007-04-18,687.23,691.15,685.76,690.05,0
2007-04-19,689.7,692.0,679.15,682.95,0
2007-04-20,682.4,693.99,682.4,691.95,0
2007-04-23,694.25,694.25,687.07,689.15,0
2007-04-24,688.7,692.05,681.45,683.65,0
2007-04-25,683.65,686.95,682.25,686.25,0
2007-04-26,686.15,687.25,671.58,674.75,0
2007-04-27,675.3,682.2,671.15,681.55,0
2007-04-30,681.45,682.2,676.1,678.45,0
2007-05-01,679.1,679.79,671.97,673.45,0
2007-05-02,673.3,675.4,667.65,673.15,0
2007-05-03,673.05,682.9,672.45,682.35,0
2007-05-04,682.25,690.92,680.4,688.85,0
2007-05-07,687.7,691.05,687.05,688.75,0
2007-05-08,689.4,689.4,682.13,685.65,0
2007-05-09,684.8,686.82,676.0,680.55,0
2007-05-10,679.7,681.25,664.33,665.65,0
2007-05-11,665.85,672.79,664.65,670.85,0
2007-05-14,671.55,675.05,666.55,669.75,0
2007-05-15,670.4,673.89,665.01,672.05,0
2007-05-16,671.4,673.55,659.9,662.15,0
2007-05-17,661.3,664.8,653.83,657.65,0
2007-05-18,657.0,663.15,656.1,661.75,0
2007-05-21,662.5,664.1,656.98,663.25,0
2007-05-22,662.4,665.4,658.3,659.25,0
2007-05-23,659.35,664.9,657.55,661.85,0
2007-05-24,661.65,662.95,652.01,654.65,0
2007-05-25,653.8,657.24,653.6,656.0,0
2007-05-28,655.4,656.94,654.95,655.55,0
2007-05-29,656.4,662.29,654.67,656.85,0
2007-05-30,657.55,658.95,652.2,653.45,0
2007-05-31,652.6,662.03,652.6,660.5,0
2007-06-01,660.65,672.27,660.65,671.75,0
2007-06-04,670.8,674.19,668.75,671.15,0
2007-06-05,670.3,673.7,669.23,670.05,0
2007-06-06,670.15,672.22,665.28,670.75,0
2007-06-07,670.1,673.05,658.15,659.15,0
2007-06-08,658.3,661.65,644.55,648.85,0
2007-06-11,649.35,655.12,648.95,653.65,0
2007-06-12,652.6,654.85,646.13,647.25,0
2007-06-13,647.25,652.62,643.38,651.75,0
2007-06-14,650.8,654.07,646.4,651.95,0
2007-06-15,651.3,655.79,649.96,655.35,0
2007-06-18,654.9,659.45,654.78,656.35,0
2007-06-19,655.5,662.05,653.81,661.45,0
2007-06-20,660.6,661.95,652.95,654.55,0
2007-06-21,654.45,656.8,647.85,651.73,0
2007-06-22,651.95,656.57,650.95,654.3,0
2007-06-25,653.7,654.75,648.9,651.0,0
2007-06-26,652.05,652.05,640.3,640.9,0
2007-06-27,640.8,644.97,639.5,643.5,0
2007-06-28,642.8,650.12,642.8,648.95,0
2007-06-29,648.1,652.65,646.65,649.65,0
2007-07-02,651.13,659.0,648.71,657.25,0
2007-07-03,656.4,658.25,652.2,653.2,0
2007-07-04,652.9,655.17,652.9,654.2,0
2007-07-05,653.7,656.75,646.3,649.5,0
2007-07-06,649.2,656.37,645.64,655.9,0
2007-07-09,657.25,663.22,653.8,660.4,0
2007-07-10,659.9,665.07,658.9,663.3,0
2007-07-11,663.1,666.3,659.98,660.65,0
2007-07-12,660.8,669.4,660.45,666.8,0
2007-07-13,666.5,668.77,663.79,666.9,0
2007-07-16,666.4,668.8,663.9,664.9,0
2007-07-17,664.3,667.27,662.78,664.9,0
2007-07-18,664.4,674.05,664.4,673.0,0
2007-07-19,673.1,677.9,671.49,677.5,0
2007-07-20,677.2,686.25,675.5,683.4,0
2007-07-23,684.1,685.08,680.51,681.6,0
2007-07-24,681.67,687.4,680.9,681.0,0
2007-07-25,680.9,682.2,671.1,674.9,0
2007-07-26,675.1,676.93,660.2,662.9,0
