Date,Open,Close,High,Low,Volume,Amount,Amplitude,Pct_Change,Change,Turnover
2002-05-10,7.799,7.799,7.8,7.798,0.0,0.0,0.0,0.0,0.0,0.0
2002-05-13,7.799,7.799,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-05-14,7.799,7.799,7.8,7.797,0.0,0.0,0.04,0.0,0.0,0.0
2002-05-15,7.799,7.799,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-05-16,7.799,7.799,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-05-17,7.799,7.799,7.8,7.797,0.0,0.0,0.04,0.0,0.0,0.0
2002-05-20,7.799,7.799,7.8,7.797,0.0,0.0,0.04,0.0,0.0,0.0
2002-05-21,7.798,7.8,7.8,7.798,0.0,0.0,0.03,0.01,0.001,0.0
2002-05-22,7.799,7.8,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-05-23,7.8,7.8,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-05-24,7.8,7.8,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-05-27,7.8,7.8,7.801,7.799,0.0,0.0,0.03,0.0,0.0,0.0
2002-05-28,7.8,7.8,7.8,7.796,0.0,0.0,0.05,0.0,0.0,0.0
2002-05-29,7.8,7.8,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-05-30,7.8,7.8,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-05-31,7.8,7.8,7.801,7.798,0.0,0.0,0.04,0.0,0.0,0.0
2002-06-03,7.8,7.8,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-06-04,7.8,7.8,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-06-05,7.8,7.8,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-06-06,7.8,7.8,7.8,7.797,0.0,0.0,0.04,0.0,0.0,0.0
2002-06-07,7.8,7.8,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-06-10,7.8,7.8,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-06-11,7.8,7.8,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-06-12,7.8,7.8,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-06-13,7.8,7.8,7.801,7.799,0.0,0.0,0.03,0.0,0.0,0.0
2002-06-14,7.8,7.8,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-06-17,7.8,7.8,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-06-18,7.8,7.8,7.801,7.799,0.0,0.0,0.03,0.0,0.0,0.0
2002-06-19,7.8,7.8,7.801,7.8,0.0,0.0,0.01,0.0,0.0,0.0
2002-06-20,7.8,7.799,7.801,7.799,0.0,0.0,0.03,-0.01,-0.001,0.0
2002-06-21,7.799,7.8,7.801,7.799,0.0,0.0,0.03,0.01,0.001,0.0
2002-06-24,7.8,7.8,7.8,7.797,0.0,0.0,0.04,0.0,0.0,0.0
2002-06-25,7.8,7.8,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-06-26,7.799,7.8,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-06-27,7.799,7.8,7.799,7.795,0.0,0.0,0.05,0.0,0.0,0.0
2002-06-28,7.799,7.8,7.8,7.795,0.0,0.0,0.06,0.0,0.0,0.0
2002-07-01,7.8,7.8,7.801,7.8,0.0,0.0,0.01,0.0,0.0,0.0
2002-07-02,7.8,7.8,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-03,7.799,7.8,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-07-04,7.8,7.8,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-07-05,7.8,7.8,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-07-08,7.8,7.8,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-07-09,7.799,7.8,7.8,7.799,0.0,0.0,0.01,0.0,0.0,0.0
2002-07-10,7.8,7.799,7.801,7.798,0.0,0.0,0.04,-0.01,-0.001,0.0
2002-07-11,7.799,7.8,7.8,7.799,0.0,0.0,0.01,0.01,0.001,0.0
2002-07-12,7.8,7.8,7.801,7.799,0.0,0.0,0.03,0.0,0.0,0.0
2002-07-15,7.8,7.8,7.8,7.798,0.0,0.0,0.03,0.0,0.0,0.0
2002-07-16,7.8,7.8,7.801,7.798,0.0,0.0,0.04,0.0,0.0,0.0
