ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399001.SZ,20260330,13726.1905,13618.7935,13748.2073,13536.5611,13760.369,-34.1785,-0.2484,653068732.0,1076058863.0
399001.SZ,20260327,13760.369,13423.5125,13842.397,13419.3108,13606.4432,153.9258,1.1313,630253838.0,1053565323.0
399001.SZ,20260326,13606.4432,13756.87,13853.0962,13573.1205,13801.0008,-194.5576,-1.4097,666668034.0,1095241403.2
399001.SZ,20260325,13801.0008,13669.0523,13835.031,13666.842,13536.5556,264.4452,1.9536,722888829.0,1211952310.2
399001.SZ,20260324,13536.5556,13514.6696,13536.5556,13169.2513,13345.5138,191.0418,1.4315,730716233.0,1151421880.4
399001.SZ,20260323,13345.5138,13619.9444,13758.9743,13274.1767,13866.2022,-520.6884,-3.7551,851584549.0,1345269862.2
399001.SZ,20260320,13866.2022,14021.4557,14144.9896,13856.4876,13901.5678,-35.3656,-0.2544,732934604.0,1321947502.0
399001.SZ,20260319,13901.5678,14003.6982,14098.6916,13852.5958,14187.7963,-286.2285,-2.0174,679341017.0,1175704077.7
399001.SZ,20260318,14187.7963,14108.9214,14203.9146,13944.3709,14039.7303,148.066,1.0546,666055598.0,1169736139.4
399001.SZ,20260317,14039.7303,14370.4462,14400.3551,14039.5015,14307.5773,-267.847,-1.8721,753197037.0,1256632860.4
399001.SZ,20260316,14307.5773,14291.1492,14320.0955,14097.8154,14280.7798,26.7975,0.1876,753016185.0,1288107044.4
399001.SZ,20260313,14280.7798,14300.9245,14454.3066,14245.9586,14374.8711,-94.0913,-0.6546,774225691.0,1336399029.9
399001.SZ,20260312,14374.8711,14457.6314,14478.0462,14245.7694,14465.4098,-90.5387,-0.6259,768805142.0,1363682636.8
399001.SZ,20260311,14465.4098,14373.7396,14531.0232,14373.0104,14354.0736,111.3362,0.7756,770973776.0,1444776810.5
399001.SZ,20260310,14354.0736,14239.301,14357.8183,14239.301,14067.5025,286.5711,2.0371,736222902.0,1361460406.1
399001.SZ,20260309,14067.5025,13920.2864,14103.6306,13701.6701,14172.6271,-105.1246,-0.7417,837345656.0,1453438641.3
399001.SZ,20260306,14172.6271,14015.5432,14212.8434,13969.341,14088.8384,83.7887,0.5947,729278913.0,1221343285.2
399001.SZ,20260305,14088.8384,14160.1984,14202.7615,13999.7021,13917.752,171.0864,1.2293,758966477.0,1321994082.0
