trade_date,sh_close,sz_close,avg_close,total_turnover,margin_balance,short_balance,total_margin_balance
20260326,3889.0835,13606.4432,8747.76335,19436.027383,25906.04985033,177.89478313,26083.94463346
20260325,3931.8375,13801.0008,8866.41915,21798.065714,25914.6869248,178.79034072,26093.47726552
20260324,3881.2797,13536.5556,8708.91765,20828.407231,25882.96184219,171.62544218,26054.58728437
20260323,3813.2829,13345.5138,8579.39835,24315.181481999996,25951.70904991,166.97073022,26118.67978013
20260320,3957.0527,13866.2022,8911.62745,22868.106106,26065.69847833,174.50412774,26240.20260607
20260319,4006.5523,13901.5678,8954.06005,21109.690338,26238.35315111,178.76831661,26417.12146772
20260318,4062.9844,14187.7963,9125.39035,20460.636308,26281.24337772,180.38471958,26461.6280973
20260317,4049.9073,14039.7303,9044.8188,22078.609897,26255.50250825,180.41885093,26435.92135918
20260316,4084.7858,14307.5773,9196.181550000001,23253.308784,26345.54002442,183.7839716,26529.32399602
20260313,4095.4485,14280.7798,9188.11415,24003.171993000004,26248.33288165,184.50262014,26432.83550179
20260312,4129.1026,14374.8711,9251.986850000001,24418.979666,26374.41320399,187.11380825,26561.52701224
20260311,4133.4331,14465.4098,9299.42145,25083.776849,26341.99544732,185.509279,26527.50472632
20260310,4123.138,14354.0736,9238.6058,23978.876113999995,26287.77076224,180.48045149,26468.25121373
20260309,4096.6023,14067.5025,9082.0524,26475.448345,26190.48882638,181.2038179,26371.69264428
20260306,4124.194,14172.6271,9148.41055,22001.492123000004,26193.09085077,178.93281607,26372.02366684
20260305,4108.567,14088.8384,9098.7027,23900.378168000003,26254.35939602,179.75770871,26434.11710473
20260304,4082.474,13917.752,9000.113000000001,23657.539707,26171.07659727,171.99337566,26343.06997293
20260303,4122.676,14022.3914,9072.5337,31295.104332,26253.55638801,175.27723616,26428.83362417
20260302,4182.5909,14465.7884,9324.18965,30207.187529000003,26478.33221815,177.22068073,26655.55289888
20260227,4162.8815,14495.0923,9328.9869,24880.235115,26432.5522291,173.33064193,26605.88287103
20260226,4146.6311,14503.7865,9325.2088,25384.458429000002,26413.96664216,170.64449038,26584.61113254
20260225,4147.2305,14475.8653,9311.5479,24625.47796,26213.83885644,167.20204834,26381.04090478
20260224,4117.4089,14291.5657,9204.4873,22020.618415,25977.50389722,164.88447776,26142.38837498
20260213,4082.0726,14100.1897,9091.131150000001,19826.799386,25640.12285101,157.45539266,25797.57824367
20260212,4134.0178,14282.9983,9208.50805,21417.383515,26205.97108157,162.64467646,26368.61575803
20260211,4131.985,14160.9336,9146.4593,19842.52363,26191.79391302,166.10927928,26357.9031923
20260210,4128.3731,14210.6261,9169.4996,21055.353015,26350.49141945,167.33561151,26517.82703096
20260209,4123.0897,14208.4359,9165.7628,22494.73274,26387.81838995,168.31448001,26556.13286996
20260206,4065.5834,13906.7345,8986.158950000001,21457.193396,26383.83830521,166.1441228,26549.98242801
